parameters,Easy_0.5,Easy_0.7,Easy_0.9,Medium_0.5,Medium_0.7,Medium_0.9,Hard_0.5,Hard_0.7,Hard_0.9
"['cxUniform', '50']",8.4,10.0,10.0,10.25,15.3,20.0,12.4,17.9,30.0
"['cxUniform', '100']",8.5,10.0,10.0,14.35,15.6,20.0,12.45,17.95,30.0
"['cxUniform', '200']",9.0,10.0,10.0,12.45,15.55,20.0,11.75,18.6,30.0
"['cxUniform', '500']",9.45,10.0,10.0,14.75,16.55,20.0,15.2,19.0,30.0
"['cxTwoPoint', '50']",8.65,10.0,10.0,11.15,15.7,20.0,11.15,17.95,30.0
"['cxTwoPoint', '100']",8.5,10.0,10.0,11.5,15.45,20.0,11.45,18.0,30.0
"['cxTwoPoint', '200']",8.75,10.0,10.0,11.1,15.6,20.0,12.5,18.3,30.0
"['cxTwoPoint', '500']",9.35,10.0,10.0,13.05,16.05,20.0,12.2,18.85,30.0
