parameters,Easy_0.5,Easy_0.7,Easy_0.9,Medium_0.5,Medium_0.7,Medium_0.9,Hard_0.5,Hard_0.7,Hard_0.9
['50'],7.65,9.9,10.0,9.8,15.15,20.0,11.2,17.75,30.0
['100'],8.65,10.0,10.0,10.45,15.3,20.0,11.3,18.35,30.0
['200'],8.8,10.0,10.0,10.4,15.85,20.0,11.6,18.15,30.0
['500'],9.1,10.0,10.0,11.55,16.05,20.0,12.3,18.6,30.0
